paper_idx,voltage,workload,cgate,E_per_mac,layer_node,mac_number,Etotal,Ewlbl,Emul,Eadder,Emem,Emem_O,Emem_W,Emem_I,utilization_O,utilization_W,utilization_I,latency_wo_onload_wo_offload,latency_w_onload_wo_offload,latency_w_onload_w_offload
1,0.5,resnet8,0.636,0.129,LayerNode_16,131072,16875.716,0.0,333.447,16503.03,39.239,26.051,0.163,13.025,1.0,1.0,1.0,64,68,69
1,0.5,resnet8,0.636,0.087,LayerNode_2,2359296,205298.785,0.0,6002.049,198036.357,1260.379,625.213,0.183,634.982,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.5,resnet8,0.636,0.066,LayerNode_22,640,42.44,0.0,1.628,40.291,0.522,0.064,0.051,0.407,1.0,1.0,1.0,1,3,4
1,0.5,resnet8,0.636,0.087,LayerNode_9,2359296,204986.728,0.0,6002.049,198036.357,948.322,625.213,0.733,322.376,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,0.5,resnet8,0.636,0.066,LayerNode_15,2359296,155198.816,0.0,6002.049,148527.268,669.499,247.48,187.564,234.455,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,0.5,resnet8,0.636,0.152,LayerNode_0,442368,67360.799,0.0,1125.384,66012.119,223.296,104.202,0.034,119.059,1.0,1.0,1.0,1024,1025,1026
1,0.5,resnet8,0.636,0.255,LayerNode_10,131072,33417.699,0.0,333.447,33006.06,78.192,52.101,0.041,26.051,1.0,1.0,1.0,256,257,258
1,0.5,resnet8,0.636,0.087,LayerNode_13,1179648,102399.541,0.0,3001.025,99018.179,380.338,169.329,93.782,117.228,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,0.5,resnet8,0.636,0.087,LayerNode_4,2359296,205298.785,0.0,6002.049,198036.357,1260.379,625.213,0.183,634.982,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.5,resnet8,0.636,0.087,LayerNode_7,1179648,102529.794,0.0,3001.025,99018.179,510.591,182.354,93.782,234.455,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,0.6,resnet8,0.636,0.185,LayerNode_16,131072,24301.03,0.0,480.164,23764.363,56.504,37.513,0.234,18.756,1.0,1.0,1.0,64,68,69
1,0.6,resnet8,0.636,0.367,LayerNode_10,131072,48121.487,0.0,480.164,47528.726,112.597,75.026,0.059,37.513,1.0,1.0,1.0,256,257,258
1,0.6,resnet8,0.636,0.125,LayerNode_2,2359296,295630.251,0.0,8642.951,285172.354,1814.946,900.307,0.264,914.375,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.6,resnet8,0.636,0.095,LayerNode_22,640,61.114,0.0,2.345,58.018,0.751,0.092,0.073,0.586,1.0,1.0,1.0,1,3,4
1,0.6,resnet8,0.636,0.125,LayerNode_9,2359296,295180.888,0.0,8642.951,285172.354,1365.583,900.307,1.055,464.221,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,0.6,resnet8,0.636,0.125,LayerNode_7,1179648,147642.903,0.0,4321.475,142586.177,735.251,262.59,135.046,337.615,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,0.6,resnet8,0.636,0.125,LayerNode_13,1179648,147455.339,0.0,4321.475,142586.177,547.687,243.833,135.046,168.808,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,0.6,resnet8,0.636,0.125,LayerNode_4,2359296,295630.251,0.0,8642.951,285172.354,1814.946,900.307,0.264,914.375,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.6,resnet8,0.636,0.219,LayerNode_0,442368,96999.551,0.0,1620.553,95057.451,321.546,150.051,0.049,171.445,1.0,1.0,1.0,1024,1025,1026
1,0.6,resnet8,0.636,0.095,LayerNode_15,2359296,223486.295,0.0,8642.951,213879.266,964.079,356.372,270.092,337.615,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,0.7,resnet8,0.636,0.17,LayerNode_7,1179648,200958.396,0.0,5882.008,194075.63,1000.758,357.414,183.813,459.532,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,0.7,resnet8,0.636,0.171,LayerNode_2,2359296,402385.619,0.0,11764.016,388151.26,2470.343,1225.418,0.359,1244.566,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.7,resnet8,0.636,0.252,LayerNode_16,131072,33076.403,0.0,653.556,32345.938,76.908,51.059,0.319,25.53,1.0,1.0,1.0,64,68,69
1,0.7,resnet8,0.636,0.5,LayerNode_10,131072,65498.69,0.0,653.556,64691.877,153.257,102.118,0.08,51.059,1.0,1.0,1.0,256,257,258
1,0.7,resnet8,0.636,0.298,LayerNode_0,442368,132027.166,0.0,2205.753,129383.753,437.66,204.236,0.067,233.356,1.0,1.0,1.0,1024,1025,1026
1,0.7,resnet8,0.636,0.17,LayerNode_9,2359296,401773.987,0.0,11764.016,388151.26,1858.711,1225.418,1.436,631.856,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,0.7,resnet8,0.636,0.129,LayerNode_15,2359296,304189.68,0.0,11764.016,291113.445,1312.219,485.061,367.626,459.532,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,0.7,resnet8,0.636,0.17,LayerNode_13,1179648,200703.101,0.0,5882.008,194075.63,745.463,331.884,183.813,229.766,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,0.7,resnet8,0.636,0.13,LayerNode_22,640,83.183,0.0,3.191,78.97,1.022,0.125,0.1,0.798,1.0,1.0,1.0,1,3,4
1,0.7,resnet8,0.636,0.171,LayerNode_4,2359296,402385.619,0.0,11764.016,388151.26,2470.343,1225.418,0.359,1244.566,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.8,resnet8,0.636,0.223,LayerNode_2,2359296,525564.89,0.0,15365.246,506973.074,3226.57,1600.546,0.469,1625.555,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.8,resnet8,0.636,0.222,LayerNode_13,1179648,262142.826,0.0,7682.623,253486.537,973.666,433.481,240.082,300.102,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,0.8,resnet8,0.636,0.39,LayerNode_0,442368,172443.645,0.0,2880.984,168991.025,571.637,266.758,0.088,304.792,1.0,1.0,1.0,1024,1025,1026
1,0.8,resnet8,0.636,0.223,LayerNode_7,1179648,262476.273,0.0,7682.623,253486.537,1307.113,466.826,240.082,600.205,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,0.8,resnet8,0.636,0.17,LayerNode_22,640,108.647,0.0,4.168,103.144,1.335,0.163,0.13,1.042,1.0,1.0,1.0,1,3,4
1,0.8,resnet8,0.636,0.222,LayerNode_9,2359296,524766.024,0.0,15365.246,506973.074,2427.704,1600.546,1.876,825.282,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,0.8,resnet8,0.636,0.653,LayerNode_10,131072,85549.31,0.0,853.625,84495.512,200.173,133.379,0.104,66.689,1.0,1.0,1.0,256,257,258
1,0.8,resnet8,0.636,0.33,LayerNode_16,131072,43201.832,0.0,853.625,42247.756,100.451,66.689,0.417,33.345,1.0,1.0,1.0,64,68,69
1,0.8,resnet8,0.636,0.168,LayerNode_15,2359296,397308.97,0.0,15365.246,380229.806,1713.918,633.55,480.164,600.205,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,0.8,resnet8,0.636,0.223,LayerNode_4,2359296,525564.89,0.0,15365.246,506973.074,3226.57,1600.546,0.469,1625.555,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.9,resnet8,0.636,0.826,LayerNode_10,131072,108273.345,0.0,1080.369,106939.633,253.343,168.808,0.132,84.404,1.0,1.0,1.0,256,257,258
1,0.9,resnet8,0.636,0.213,LayerNode_15,2359296,502844.165,0.0,19446.639,481228.348,2169.178,801.836,607.707,759.634,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,0.9,resnet8,0.636,0.282,LayerNode_7,1179648,332196.533,0.0,9723.319,320818.899,1654.315,590.827,303.854,759.634,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,0.9,resnet8,0.636,0.282,LayerNode_2,2359296,665168.064,0.0,19446.639,641637.797,4083.628,2025.692,0.593,2057.343,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.9,resnet8,0.636,0.493,LayerNode_0,442368,218248.989,0.0,3646.245,213879.266,723.478,337.615,0.111,385.752,1.0,1.0,1.0,1024,1025,1026
1,0.9,resnet8,0.636,0.282,LayerNode_4,2359296,665168.064,0.0,19446.639,641637.797,4083.628,2025.692,0.593,2057.343,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,0.9,resnet8,0.636,0.417,LayerNode_16,131072,54677.318,0.0,1080.369,53469.816,127.133,84.404,0.528,42.202,1.0,1.0,1.0,64,68,69
1,0.9,resnet8,0.636,0.215,LayerNode_22,640,137.507,0.0,5.275,130.542,1.69,0.206,0.165,1.319,1.0,1.0,1.0,1,3,4
1,0.9,resnet8,0.636,0.282,LayerNode_9,2359296,664156.999,0.0,19446.639,641637.797,3072.563,2025.692,2.374,1044.497,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,0.9,resnet8,0.636,0.281,LayerNode_13,1179648,331774.514,0.0,9723.319,320818.899,1232.296,548.625,303.854,379.817,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,1.0,resnet8,0.636,0.515,LayerNode_16,131072,67502.862,0.0,1333.789,66012.119,156.955,104.202,0.651,52.101,1.0,1.0,1.0,64,68,69
1,1.0,resnet8,0.636,0.348,LayerNode_2,2359296,821195.141,0.0,24008.196,792145.428,5041.516,2500.854,0.733,2539.93,1.0,1.0,1.0,4162.0,4164.0,4165.0
1,1.0,resnet8,0.636,0.263,LayerNode_15,2359296,620795.265,0.0,24008.196,594109.071,2677.998,989.921,750.256,937.82,1.0,1.0,1.0,5175.0,5183.0,5184.0
1,1.0,resnet8,0.636,1.02,LayerNode_10,131072,133670.796,0.0,1333.789,132024.238,312.77,208.404,0.163,104.202,1.0,1.0,1.0,256,257,258
1,1.0,resnet8,0.636,0.347,LayerNode_13,1179648,409598.165,0.0,12004.098,396072.714,1521.353,677.315,375.128,468.91,1.0,1.0,1.0,2681.0,2687.0,2688.0
1,1.0,resnet8,0.636,0.348,LayerNode_7,1179648,410119.176,0.0,12004.098,396072.714,2042.364,729.416,375.128,937.82,1.0,1.0,1.0,3068.0,3071.0,3072.0
1,1.0,resnet8,0.636,0.348,LayerNode_9,2359296,819946.912,0.0,24008.196,792145.428,3793.287,2500.854,2.931,1289.503,1.0,1.0,1.0,2125.0,2128.0,2129.0
1,1.0,resnet8,0.636,0.609,LayerNode_0,442368,269443.196,0.0,4501.537,264048.476,893.183,416.809,0.137,476.237,1.0,1.0,1.0,1024,1025,1026
